,geometry,POT_MW,ALT_TOTAL,ALT_TORRE,DIAM_ROTOR,DATA_ATUALIZACAO,EOL_VERSAO_ID,NOME_EOL,DEN_AEG,X,Y,VERSAO,DATUM_EMP,OPERACAO,FUSO_AG,PROPRIETARIO,ORIGEM,OBJECTID,UF,CEG,lat,long
544,POINT (-39.59934091399998 -3.096745276898038),2.1,147.5,96.2,95.0,1666625847000,30372,Icaraí I,AEG-02,433403.88298295,9657694.43970773,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Central Geradora Eólica Icaraí I S.A.,,545,CE,EOLCVCE030372-0-01,-3.096745276898038,-39.59934091399998
545,POINT (-42.70337963599996 -13.893320843559593),2.7,150.0,89.0,122.0,1666625847000,31404,Angico,AGC - 02,748187.0,8462877.0,Versão Válida,SIRGAS2000,Sim,UTM 23 S (MER -45),Centrais Eólicas Angico S.A.,,546,BA,EOLCVBA031404-8-01,-13.893320843559593,-42.70337963599996
546,POINT (-42.57838681099998 -14.287745310548154),1.85,121.25,80.0,82.5,1666625847000,30752,Corrupião,COR-005,761252.0,8419087.0,Versão Válida,WGS84,Sim,UTM 23 S (MER -45),Central Eólica Corrupião S.A.,,547,BA,EOLCVBA030752-1-01,-14.287745310548154,-42.57838681099998
547,POINT (-42.611258157999934 -14.389972115545184),1.85,121.25,80.0,82.5,1666625847000,30753,Tamanduá Mirim,TAM-64,757587.0,8407809.0,Versão Válida,WGS84,Sim,UTM 23 S (MER -45),Central Eólica Tamanduá Mirim S.A.,,548,BA,EOLCVBA030753-0-01,-14.389972115545184,-42.611258157999934
548,POINT (-35.88362841899993 -5.397160190823008),1.6,121.0,80.0,82.0,1666625847000,30504,Eurus III,17,180404.0,9402677.0,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),DESA Eurus III S.A.,,549,RN,EOLCVRN030504-9-01,-5.397160190823008,-35.88362841899993
549,POINT (-41.45854737499997 -11.883851062619213),2.0,126.5,78.0,97.0,1666625847000,31337,Maniçoba,Maniçoba 04,232175.0,8685106.0,Versão Válida,SIRGAS2000,Não,UTM 24 S (MER -39),Enel Green Power Maniçoba Eólica S.A.,,550,BA,EOLCVBA031337-8-01,-11.883851062619213,-41.45854737499997
550,POINT (-37.00235019699994 -4.96436032283703),3.0,178.0,120.0,116.0,1666625847000,30897,Carcará II,AEG-06,721504.6,9450941.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Usina de Energia Eólica Carcará II S.A.,,551,RN,EOLCVRN030897-8-01,-4.96436032283703,-37.00235019699994
551,POINT (-42.63953480299995 -13.979862611557085),1.6,121.25,80.0,82.5,1666625847000,30322,Planaltina,PLA_10,755039.0,8453275.0,Versão Válida,SAD69,Sim,UTM 23 S (MER -45),Centrais Eólicas Planaltina S.A.,,552,BA,EOLCVBA030322-4-01,-13.979862611557085,-42.63953480299995
552,POINT (-39.69544701099995 -3.0758564598987057),2.7,150.0,89.0,122.0,1666625847000,30691,Ilha Grande,IG-06,422723.0,9659997.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Central Elétrica Ilha Grande Ltda.,,553,CE,EOLCVCE030691-6-01,-3.0758564598987057,-39.69544701099995
553,POINT (-42.64235595099996 -14.218671127550103),1.6,121.25,80.0,82.5,1666625847000,30342,Guirapá,GUI_7,754469.0,8426847.0,Versão Válida,SAD69,Sim,UTM 23 S (MER -45),Centrais Eólicas Guirapá Ltda.,,554,BA,EOLCVBA030342-9-01,-14.218671127550103,-42.64235595099996
554,POINT (-51.75023333599995 -26.628385262243334),1.5,123.5,85.0,77.0,1666625847000,29065,Campo Belo,UG 6,425395.0,7054549.0,Versão Válida,SIRGAS2000,Sim,UTM 22 S (MER -51),Campo Belo Energia Eólica S.A.,,555,SC,EOLCVSC029065-3-01,-26.628385262243334,-51.75023333599995
