OBJECTID,POT_MW,ALT_TOTAL,ALT_TORRE,DIAM_ROTOR,DATA_ATUALIZACAO,EOL_VERSAO_ID,NOME_EOL,DEN_AEG,OPERACAO,PROPRIETARIO,UF,LATITUDE,LONGITUDE
1805,3.0,178.0,120.0,116.0,2022-10-24 15:37:27,30461,Atlântica IV,IV-06,True,Atlântica IV Parque Eólico S.A.,RS,-30.304332156177455,-50.32942379199994
1806,1.5,123.5,85.0,77.0,2022-10-24 15:37:27,30282,Coqueiros,17,True,Nova Eólica Coqueiro S.A.,CE,-2.8782309519052003,-39.97514953499996
1807,2.0,138.5,90.0,97.0,2022-10-24 15:37:27,31121,Dois Riachos,Dois Riachos 01,True,Enel Green Power Dois Riachos Eólica S.A.,BA,-11.822513762621076,-41.45880541399998
1808,2.0,139.0,98.0,82.0,2022-10-24 15:37:27,30293,Santa Clara III,SC-III-04,True,Santa Clara III Energias Renováveis Ltda.,RN,-5.272031968827063,-35.90461937199996
1809,2.1,124.0,80.0,88.0,2022-10-24 15:37:27,28770,Enacel,EN-01,True,BVP Geradora de Energia S.A.,CE,-4.501009524852141,-37.76921944199995
1810,3.465,150.0,84.0,132.0,2021-01-12 14:44:07,35233,Umburana de Cheiro,UMC - 08,True,Umburana de Cheiro Energética S.A.,BA,-9.82669019568222,-41.03422967499995
1811,4.2,200.0,125.0,150.0,2022-05-19 09:55:52,35166,Angicos II,ANG_II-6,True,Eólica Angicos II Geração de Energias SPE S/A,RN,-5.369454820823931,-36.50090904499996
1812,0.8,99.0,75.0,48.0,2022-10-24 15:37:27,28424,RN 15 - Rio do Fogo,1.54,True,Energias Renováveis do Brasil S.A.,RN,-5.336042152824974,-35.380537348999944
1813,1.6,121.25,80.0,82.5,2022-10-24 15:37:27,30342,Guirapá,GUI_4,True,Centrais Eólicas Guirapá Ltda.,BA,-14.212484078550334,-42.64072518199998
1814,2.1,124.0,80.0,88.0,2022-10-24 15:37:27,30289,Icaraí,AEG 3,True,Eólica Icaraí Geração e Comercialização de Energia S.A,CE,-3.0294387409002503,-39.62257314599998
1815,3.0,182.5,120.0,125.0,2022-10-24 15:37:27,31816,Itarema VII,ITA-VII-03,True,Eólica Itarema VII S.A.,CE,-2.957164494902614,-39.87786492199996
1816,2.0,126.5,78.0,97.0,2022-10-24 15:37:27,30912,São Cristóvão,SC 01,True,Central Eólica São Cristóvão S.A.,CE,-3.260296262892638,-39.248342854999976
1817,2.0,126.5,78.0,97.0,2022-10-24 15:37:27,30912,São Cristóvão,SC 09,True,Central Eólica São Cristóvão S.A.,CE,-3.2599858288926784,-39.259549182999926
1818,2.1,175.0,120.0,110.0,2022-10-24 15:37:27,35217,Santo Inácio III,SIIII-03,True,Central Eólica Santo Inácio III S.A.,CE,-4.770999907843347,-37.306434274999965
1819,0.8,98.0,74.0,48.0,2022-10-24 15:37:27,29083,Presidente,35,True,Vale dos Ventos Geradora Eólica S.A.,PB,-6.574995596785001,-34.976248133999945
1820,1.5,138.5,100.0,77.0,2022-10-24 15:37:27,29051,Púlpito,AEG 11,True,Púlpito Energia Eólica S.A.,SC,-28.479133592208566,-49.60761582699996
1821,2.1,124.0,80.0,88.0,2022-10-24 15:37:27,28699,Icaraizinho,AEG 19,True,CPFL Energias Renováveis S.A.,CE,-3.009773842900868,-39.67705441299995
1822,2.1,135.0,80.0,110.0,2022-10-24 15:37:27,30750,Ibirapuitã I,10,True,Eólica Ibirapuitã S.A.,RS,-30.790906023169743,-55.660871595999936
1823,2.0,121.5,78.0,87.0,2022-10-24 15:37:27,30519,Calango 2,CAL2-14,True,Calango 2 Energia Renovável S.A.,RN,-6.019147206802896,-36.467810930999974
1824,1.5,123.5,85.0,77.0,2022-10-24 15:37:27,30282,Coqueiros,True,True,Nova Eólica Coqueiro S.A.,CE,-2.8903512189048053,-39.976383425999984
1825,2.7,150.0,89.0,122.0,2022-10-24 15:37:27,34636,Campo Largo XV,CLXV-08,True,CLWP Eólica Parque XV Ltda.,BA,-10.503130212661315,-41.446717671999984
1826,2.0,145.0,95.0,100.0,2022-10-24 15:37:27,30515,Renascença I,UG15,True,Energisa Geração - Central Eólica Renascença I S.A.,RN,-5.293465787826357,-35.87531908699998
1827,2.7,180.0,119.0,122.0,2022-10-24 15:37:27,32011,Cacimbas 1,AG CA-06,True,Central Eólica Cacimbas S.A.,CE,-3.2512770748929642,-39.280429364999975
1828,2.0,135.0,80.0,110.0,2022-10-24 15:37:27,32521,Delfina III,2,True,Enel Green Power Delfina B Eólica S.A.,BA,-10.003244547676724,-40.93261658999995
1829,0.8,99.0,75.0,48.0,2022-10-24 15:37:27,28174,Beberibe,WEC - 21,True,Eólica Beberibe S.A.,CE,-4.197873447861991,-38.07407925399997
